"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",10.6802690898621,0.0271780122985877,392.97462126828,0
"2","male",-0.00481517558950738,0.02544464813926,-0.189241193792645,0.849943371625913
"3","jobTitleDriver",-0.0379506690096021,0.0264869918557576,-1.43280404268908,0.152236042566465
"4","jobTitleFinancial Analyst",0.0342000383959395,0.0260647513381908,1.31211834527762,0.189790623635208
"5","jobTitleGraphic Designer",-0.0215608125310032,0.0262302111330064,-0.821983949030152,0.411288028484994
"6","jobTitleIT",-0.0396548471101586,0.025898461803491,-1.53116611368839,0.126054391397373
"7","jobTitleManager",0.295512264593509,0.036065937014002,8.19366663006096,0.000000000000000795402186569165
"8","jobTitleMarketing Associate",-0.219494631922914,0.0220917200358823,-9.93560626182124,0.000000000000000000000321670195985945
"9","jobTitleSales Associate",-0.0145910594049778,0.0269737704790083,-0.540935106433598,0.588676508828024
"10","jobTitleSoftware Engineer",0.130358174691611,0.0499015512135446,2.61230706303632,0.00913237978278975
"11","jobTitleWarehouse Associate",-0.00414481217576489,0.0264976993822726,-0.156421586492065,0.875733271709747
"12","perfEval",-0.0000596977166225402,0.00296650992151473,-0.0201238890824467,0.983948681857685
"13","age_bin",0.109827612802118,0.00292115225744196,37.5973599192988,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141611979339745
"14","eduHigh School",-0.0119632610679099,0.0118997378327232,-1.00533820459574,0.31498474220461
"15","eduMasters",0.0577363492119305,0.0119801978159427,4.81931518151543,0.00000167111860892557
"16","eduPhD",0.069085599477351,0.0121086122642,5.7054927492895,0.0000000154022669791951
"17","seniority",0.108191026016545,0.00301490169993691,35.8854240650065,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000380414016673078
"18","deptEngineering",0.0322680747327762,0.0135407870137554,2.38302801011469,0.0173625825755297
"19","deptManagement",0.0327785403850818,0.0134921669387323,2.42944966023091,0.0153024282044267
"20","deptOperations",-0.00317398700539005,0.0131858970897408,-0.240710736917516,0.809830182480213
"21","deptSales",0.0756172998418784,0.0132751276702241,5.69616366187476,0.000000016239875455354
"22","male:jobTitleDriver",0.00325430307172095,0.0376147489096255,0.0865166767307115,0.931073554879487
"23","male:jobTitleFinancial Analyst",0.027303740230534,0.0361190252751475,0.755937903156012,0.449869961004382
"24","male:jobTitleGraphic Designer",-0.0108128836560364,0.0370215765567534,-0.292069778267287,0.770295727582272
"25","male:jobTitleIT",0.0273591881128136,0.0370202981981437,0.739032083598544,0.460066304620189
"26","male:jobTitleManager",0.0180576010251919,0.0432188242141711,0.417817961351919,0.676172687976198
"27","male:jobTitleMarketing Associate",0.076770293379124,0.0487858482175422,1.57361809180391,0.11590185778032
"28","male:jobTitleSales Associate",0.0380169648513122,0.0372331291733282,1.02105210320452,0.307484336441008
"29","male:jobTitleSoftware Engineer",0.0164037560665375,0.0545743277990135,0.300576419868134,0.763801924017495
"30","male:jobTitleWarehouse Associate",-0.00376245642191122,0.0376203179837827,-0.100011287079847,0.920356030337441
